log_id,user_id,action,file_id,timestamp,ip_address,file_size_mb,download_count_24h,login_attempts,anomaly_label
LOG0001,U020,view,F008,2026-03-10T04:56:40,148.160.97.81,249.18,31,4,0
LOG0002,U016,upload,F003,2026-02-07T23:26:40,248.123.110.180,24.42,38,7,0
LOG0003,U010,upload,F028,2026-03-17T02:47:40,226.135.187.206,183.03,36,8,0
LOG0004,U007,logout,F018,2026-02-22T13:31:40,130.230.143.60,64.42,146,32,1
LOG0005,U018,logout,F025,2026-03-12T09:17:40,131.205.20.23,19.55,30,8,0
LOG0006,U015,delete,F020,2026-01-24T11:35:40,239.163.83.201,495.31,19,9,0
LOG0007,U011,rename,F023,2026-01-17T06:25:40,209.8.188.169,336.94,37,4,0
LOG0008,U001,rename,F009,2026-01-05T21:19:40,59.26.245.87,262.16,49,6,0
LOG0009,U005,share,F002,2026-01-15T17:48:40,49.9.225.160,209.45,13,6,0
LOG0010,U017,rename,F028,2026-03-22T17:47:40,133.106.166.244,262.79,11,7,0
LOG0011,U018,logout,F018,2026-02-12T18:06:40,223.135.247.98,478.67,19,3,0
LOG0012,U010,login,F023,2026-03-03T17:10:40,126.162.245.178,280.29,46,4,0
LOG0013,U010,download,F019,2026-01-02T22:31:40,230.202.176.74,145.3,45,1,0
LOG0014,U012,rename,F021,2026-02-25T16:25:40,55.103.138.139,68.72,37,3,0
LOG0015,U008,upload,F022,2026-01-22T08:15:40,60.26.51.211,165.21,43,2,0
LOG0016,U001,delete,F014,2026-01-06T00:25:40,167.102.147.164,142.78,73,47,1
LOG0017,U008,upload,F030,2026-03-08T01:59:40,215.90.18.203,394.0,47,4,0
LOG0018,U002,upload,F010,2026-01-16T20:49:40,238.171.145.232,494.55,31,2,0
LOG0019,U017,rename,F009,2026-03-06T12:34:40,42.234.131.95,7.14,18,9,0
LOG0020,U007,delete,F020,2026-01-08T03:03:40,110.167.44.205,334.66,8,7,0
LOG0021,U011,share,F001,2026-02-25T03:40:40,115.136.168.154,291.27,16,5,0
LOG0022,U008,upload,F022,2026-03-15T01:36:40,41.207.159.60,319.39,23,9,0
LOG0023,U008,share,F005,2026-01-28T11:26:40,192.191.212.241,378.7,13,3,0
LOG0024,U020,download,F017,2026-01-31T23:10:40,93.39.57.31,414.4,12,9,0
LOG0025,U018,delete,F006,2026-02-16T23:27:40,30.105.250.46,449.45,3,7,0
LOG0026,U005,view,F015,2026-01-17T14:20:40,119.157.11.202,127.3,106,48,1
LOG0027,U003,upload,F014,2026-02-13T17:51:40,139.30.35.241,15.96,49,2,0
LOG0028,U014,logout,F029,2026-02-10T01:00:40,235.193.192.41,341.4,34,2,0
LOG0029,U012,download,F006,2026-01-21T03:22:40,33.114.1.11,489.25,46,8,0
LOG0030,U014,view,F027,2026-03-01T08:26:40,89.79.141.96,468.71,7,0,0
LOG0031,U014,upload,F008,2026-03-04T13:49:40,153.17.228.24,122.44,163,25,1
LOG0032,U018,share,F025,2026-03-23T11:23:40,255.148.119.163,288.78,20,3,0
LOG0033,U010,delete,F022,2026-01-23T08:29:40,77.140.31.89,313.03,31,0,0
