user_id,file_id,file_name,file_type,access_count,last_accessed,tags
U004,F001,tutorial_29.video,video,18,2026-05-19T15:12:27,"engineering,personal,education"
U002,F001,invoice_30.pdf,pdf,65,2026-01-12T12:24:27,research
U008,F015,data_1.xlsx,spreadsheet,98,2026-05-05T14:32:27,"personal,engineering"
U007,F025,demo_12.video,video,49,2026-05-22T01:05:27,"personal,research"
U002,F024,api_16.code,code,119,2026-03-11T10:24:27,"project,personal"
U007,F023,report_85.pdf,pdf,30,2026-04-02T10:05:27,engineering
U013,F009,schema_47.code,code,21,2026-03-13T01:46:27,"personal,project,research"
U003,F020,scan_94.image,image,32,2026-05-04T22:35:27,"education,project"
U011,F027,invoice_5.pdf,pdf,104,2026-03-27T00:42:27,education
U019,F029,tutorial_84.video,video,64,2026-03-05T16:30:27,personal
U005,F008,metrics_34.xlsx,spreadsheet,96,2026-01-16T23:02:27,"research,media,engineering"
U005,F017,main_97.code,code,7,2026-05-18T08:19:27,research
U020,F003,tests_77.code,code,60,2026-01-31T04:24:27,engineering
U018,F025,tour_44.video,video,15,2026-03-31T23:49:27,"finance,project"
U009,F017,scan_14.image,image,112,2026-01-06T03:06:27,"education,engineering,media"
U006,F018,budget_77.xlsx,spreadsheet,42,2026-02-10T12:52:27,"personal,engineering"
U002,F008,budget_11.xlsx,spreadsheet,94,2026-02-11T10:11:27,"media,engineering,project"
U016,F018,diagram_68.image,image,112,2026-01-10T23:46:27,"education,project,media"
U013,F022,recording_67.video,video,58,2026-05-16T05:45:27,project
U001,F019,sales_76.xlsx,spreadsheet,29,2026-06-14T10:14:27,"finance,engineering,hr"
U002,F028,demo_66.video,video,31,2026-04-04T15:28:27,media
U019,F019,utils_61.code,code,104,2026-03-03T06:53:27,research
U012,F014,tests_94.code,code,7,2025-12-24T16:18:27,finance
U013,F024,demo_32.video,video,25,2026-04-27T19:31:27,research
U006,F009,utils_10.code,code,57,2026-01-26T09:56:27,"finance,hr,engineering"
U006,F014,tests_28.code,code,111,2026-03-05T11:49:27,"finance,education"
