file_id,extension,size_kb,has_text,has_binary,entropy,label
F001,.png,16526.41,0,1,7.0379,image
F002,.rar,45808.24,0,1,8.1973,archive
F003,.tar,24075.29,0,1,8.0272,archive
F004,.xml,23124.04,1,0,4.1142,data
F005,.zip,41755.45,0,1,7.6993,archive
F006,.gz,27759.31,0,1,7.4187,archive
F007,.xml,39976.97,1,0,4.188,data
F008,.mp4,48480.7,0,1,7.5805,video
F009,.txt,49180.95,1,0,4.6265,document
F010,.webp,30284.85,0,1,6.8874,image
F011,.txt,35263.6,1,0,4.3145,document
F012,.txt,20694.06,1,0,4.4971,document
F013,.gif,22595.86,0,1,7.6507,image
F014,.webp,15116.61,0,1,6.8122,image
F015,.docx,45667.78,1,0,4.4438,document
F016,.odt,45247.89,1,0,4.1541,document
F017,.mkv,36622.32,0,1,7.8236,video
F018,.avi,38474.3,0,1,7.3983,video
F019,.json,10260.15,1,0,3.3366,data
F020,.go,43240.65,1,0,3.7158,code
F021,.mp4,34352.93,0,1,7.8943,video
F022,.txt,23344.33,1,0,4.0461,document
F023,.xml,1124.99,1,0,4.0585,data
F024,.tar,16044.7,0,1,7.5925,archive
F025,.webm,15958.17,0,1,7.7411,video
F026,.txt,7466.89,1,0,4.2736,document
F027,.rtf,27981.73,1,0,4.1024,document
F028,.xml,27468.73,1,0,3.5711,data
F029,.gz,28704.57,0,1,7.5713,archive
F030,.webm,44612.26,0,1,7.8406,video
F031,.docx,1450.61,1,0,4.9033,document
F032,.pdf,19180.6,1,0,4.0861,document
F033,.js,35234.18,1,0,4.4913,code
F034,.rar,30816.15,0,1,7.7124,archive
F035,.webp,3928.2,0,1,7.6228,image
F036,.cpp,6590.63,1,0,4.4129,code
F037,.rar,4864.05,0,1,7.7104,archive
F038,.rar,23527.82,0,1,8.3474,archive
F039,.webp,12903.38,0,1,7.0634,image
F040,.gif,39439.15,0,1,7.5824,image
F041,.java,1514.18,1,0,4.0753,code
F042,.mkv,23062.62,0,1,7.4708,video
F043,.webm,28734.34,0,1,7.8079,video
F044,.go,39838.09,1,0,3.9259,code
F045,.zip,39621.75,0,1,7.9327,archive
F046,.cpp,20672.68,1,0,4.2209,code
F047,.json,48694.61,1,0,3.6838,data
F048,.avi,40695.97,0,1,7.891,video
F049,.cpp,39366.55,1,0,4.1445,code
F050,.png,33130.95,0,1,6.7779,image
F051,.7z,41837.57,0,1,7.5143,archive
F052,.xlsx,16269.58,1,0,3.3977,data
F053,.js,15402.48,1,0,4.0058,code
F054,.csv,34275.75,1,0,3.8964,data
F055,.ts,24715.26,1,0,4.2602,code
F056,.docx,40851.86,1,0,4.8873,document
F057,.zip,37854.13,0,1,8.0609,archive
F058,.cpp,14575.87,1,0,4.2156,code
F059,.js,10283.88,1,0,4.4774,code
F060,.webm,39717.54,0,1,7.9796,video
F061,.go,49129.03,1,0,3.9443,code
F062,.rtf,406.95,1,0,4.9864,document
F063,.js,42625.41,1,0,3.6624,code
F064,.csv,43.16,1,0,3.86,data
F065,.mp4,43062.53,0,1,8.1657,video
F066,.bmp,35111.39,0,1,7.0943,image
F067,.mkv,20302.23,0,1,7.7352,video
F068,.png,23744.1,0,1,6.8882,image
F069,.ts,41998.29,1,0,3.7543,code
F070,.tar,6714.74,0,1,7.4717,archive
F071,.docx,36067.24,1,0,4.4867,document
F072,.js,4234.09,1,0,4.2422,code
F073,.java,44679.23,1,0,4.2954,code
F074,.cpp,8990.69,1,0,4.1094,code
F075,.xlsx,19236.35,1,0,3.5257,data
F076,.cpp,372.49,1,0,4.0982,code
F077,.tar,35606.79,0,1,7.6693,archive
F078,.parquet,18349.13,1,0,4.2782,data
F079,.xlsx,35244.42,1,0,3.4132,data
F080,.go,4004.08,1,0,4.3302,code
F081,.xml,23247.35,1,0,3.3782,data
F082,.csv,12262.32,1,0,3.9307,data
F083,.zip,34204.02,0,1,7.9392,archive
F084,.xml,30652.34,1,0,4.2036,data
F085,.csv,23443.97,1,0,3.8127,data
F086,.cpp,36690.99,1,0,4.021,code
F087,.mov,8376.24,0,1,7.9951,video
F088,.xml,36348.86,1,0,3.8637,data
F089,.odt,28907.48,1,0,4.5729,document
F090,.gz,40444.98,0,1,8.0243,archive
F091,.mkv,4126.43,0,1,7.8056,video
F092,.mov,6627.81,0,1,7.581,video
F093,.mp4,37071.72,0,1,7.9038,video
F094,.json,32958.12,1,0,3.6698,data
F095,.gif,39126.6,0,1,6.9362,image
F096,.webp,43100.86,0,1,7.0428,image
F097,.docx,29777.61,1,0,4.8217,document
F098,.java,38518.62,1,0,3.8379,code
F099,.go,31879.1,1,0,3.8109,code
F100,.gz,2717.24,0,1,7.6644,archive
F101,.pdf,8380.85,1,0,4.3987,document
F102,.mkv,37307.78,0,1,8.0524,video
F103,.json,18990.66,1,0,4.0056,data
F104,.ts,7258.35,1,0,4.4703,code
F105,.txt,46361.2,1,0,4.4488,document
F106,.gz,48088.17,0,1,8.0829,archive
F107,.pdf,45885.69,1,0,4.6374,document
F108,.cpp,45902.18,1,0,4.4584,code
