node_id,region,cpu_pct,ram_pct,bandwidth_mbps,latency_ms,active_connections,predicted_latency_ms
N002,ap-south,70.8,65.8,8434.5,102.41,734,197.83
N012,us-east,9.3,30.1,1986.3,245.7,469,305.23
N001,ap-south,8.4,89,371.1,166.17,142,229.55
N012,sa-east,70.7,53.7,569.6,158.44,557,270.66
N004,us-east,14.6,89.1,1567.3,178.84,332,261.61
N010,ap-south,88.8,8.8,2321.1,297.61,210,448.98
N011,sa-east,18.9,84.2,1605.6,294.2,270,418.07
N004,ap-northeast,7.6,53.3,8321.6,230.56,277,294.13
N005,sa-east,44.7,63.6,3242.3,51.69,248,86.6
N005,eu-central,22.8,79,3739.4,284.86,251,404.9
N004,sa-east,53.7,88.1,5871.4,67.43,622,136.44
N008,ap-south,90.8,92.8,4931.3,198.41,494,374.56
N001,us-east,9.6,64,7888,296.15,213,384.19
N007,eu-central,19.1,73,530.2,297.05,82,401.8
N009,us-east,50.7,23.8,2333.9,47.33,155,70.83
N010,ap-northeast,34.3,19.1,1504,48.92,490,84.92
N011,eu-central,91.8,76.9,7938.3,131.24,114,230.82
N012,ap-northeast,78.7,50.2,9165.9,224.11,991,399.35
N001,us-west,72.1,10.8,9436.3,122.45,423,192.15
N002,ap-south,95.3,49.3,2280.4,210.71,270,359.24
N002,eu-central,36.3,31.8,7524.1,92.93,376,138.45
N007,us-west,43.4,50.5,2799,119.87,884,210.26
N005,sa-east,63.1,80.8,6870.1,83.16,230,143.29
N001,eu-central,8.3,68.3,3124.8,3.66,724,40.85
N003,ap-northeast,10.7,6.3,9275.9,186.22,797,239.94
N006,eu-central,9.3,76.7,1150.1,190.74,385,267.63
N003,ap-northeast,94.9,41.3,7533,279.1,930,496.46
N003,eu-central,41.3,14.9,586.3,296.83,379,391.82
N003,eu-central,37.3,20,4208.5,10.13,736,49.49
N005,ap-south,51.3,24.9,5472.9,264.94,24,356.09
N004,eu-central,45.9,39.5,8979.4,224.12,816,345.86
N003,ap-south,10.8,88.2,1166.3,41.95,331,73.1
N012,sa-east,36.5,86.5,135.1,284.1,984,467.06
N005,sa-east,8.5,29.1,7898.4,299.7,241,353.56
N012,us-west,82.6,49,8989,95.93,998,201.12
N002,us-west,40.6,42.5,2904.3,182.21,31,246.56
N007,sa-east,96.9,86.7,911.1,54.87,844,139.51
N012,eu-central,30.7,44.1,6617.6,137.81,532,205.82
