user_id,file_id,file_name,file_type,access_count,last_accessed,tags
U004,F001,tutorial_29.video,video,18,2026-03-03T18:08:40,"engineering,personal,education"
U002,F001,invoice_30.pdf,pdf,65,2025-10-27T15:20:40,research
U008,F015,data_1.xlsx,spreadsheet,98,2026-02-17T17:28:40,"personal,engineering"
U007,F025,demo_12.video,video,49,2026-03-06T04:01:40,"personal,research"
U002,F024,api_16.code,code,119,2025-12-24T13:20:40,"project,personal"
U007,F023,report_85.pdf,pdf,30,2026-01-15T13:01:40,engineering
U013,F009,schema_47.code,code,21,2025-12-26T04:42:40,"personal,project,research"
U003,F020,scan_94.image,image,32,2026-02-17T01:31:40,"education,project"
U011,F027,invoice_5.pdf,pdf,104,2026-01-09T03:38:40,education
U019,F029,tutorial_84.video,video,64,2025-12-18T19:26:40,personal
U005,F008,metrics_34.xlsx,spreadsheet,96,2025-11-01T01:58:40,"research,media,engineering"
U005,F017,main_97.code,code,7,2026-03-02T11:15:40,research
U020,F003,tests_77.code,code,60,2025-11-15T07:20:40,engineering
U018,F025,tour_44.video,video,15,2026-01-14T02:45:40,"finance,project"
U009,F017,scan_14.image,image,112,2025-10-21T06:02:40,"education,engineering,media"
U006,F018,budget_77.xlsx,spreadsheet,42,2025-11-25T15:48:40,"personal,engineering"
U002,F008,budget_11.xlsx,spreadsheet,94,2025-11-26T13:07:40,"media,engineering,project"
U016,F018,diagram_68.image,image,112,2025-10-26T02:42:40,"education,project,media"
U013,F022,recording_67.video,video,58,2026-02-28T08:41:40,project
U001,F019,sales_76.xlsx,spreadsheet,29,2026-03-29T13:10:40,"finance,engineering,hr"
U002,F028,demo_66.video,video,31,2026-01-17T18:24:40,media
U019,F019,utils_61.code,code,104,2025-12-16T09:49:40,research
U012,F014,tests_94.code,code,7,2025-10-08T19:14:40,finance
U013,F024,demo_32.video,video,25,2026-02-09T22:27:40,research
U006,F009,utils_10.code,code,57,2025-11-10T12:52:40,"finance,hr,engineering"
U006,F014,tests_28.code,code,111,2025-12-18T14:45:40,"finance,education"
U009,F030,config_55.code,code,90,2025-11-07T18:10:40,"media,engineering"
U010,F007,summary_95.pdf,pdf,70,2026-03-14T16:35:40,finance
U019,F016,metrics_21.xlsx,spreadsheet,8,2025-11-20T13:01:40,engineering
