node_id,region,cpu_pct,ram_pct,bandwidth_mbps,latency_ms,active_connections,predicted_latency_ms
N002,us-east,71.2,49.1,28.9,181.9,316,292.23
N001,us-west,68.1,20.4,180.5,14.74,157,28.61
N002,ap-south,60.0,76.8,73.3,164.41,58,258.72
N008,us-west,10.7,26.2,344.0,168.0,377,210.51
N007,eu-central,15.9,64.7,550.4,67.71,493,112.35
N004,us-east,58.4,36.8,129.5,32.54,212,56.63
N003,eu-central,54.8,45.1,926.4,12.94,51,20.98
N007,us-west,6.4,49.0,16.3,39.99,45,50.05
N005,ap-south,67.4,73.4,481.3,29.74,73,50.69
N005,ap-south,42.1,85.0,614.4,12.34,92,23.03
N008,us-east,61.4,72.6,354.4,5.89,120,15.12
N004,us-east,93.8,88.1,622.7,173.23,276,319.15
N004,ap-south,74.3,62.7,283.7,42.78,407,87.96
N003,ap-south,49.8,22.8,923.4,15.54,186,29.89
N005,us-west,44.1,36.7,807.1,152.89,22,206.41
N002,us-east,88.2,24.1,787.6,99.59,59,154.46
N002,us-west,69.9,57.4,332.7,43.76,346,84.73
N006,us-west,75.1,36.1,107.1,148.86,445,244.92
N004,ap-south,85.2,15.9,589.2,15.6,223,34.22
N003,us-west,88.5,46.4,393.5,31.6,368,68.87
N004,eu-central,92.8,26.2,135.9,139.98,30,218.66
N005,us-west,15.0,47.2,424.0,153.27,112,194.48
N005,us-west,76.1,61.0,615.4,38.14,496,85.21
N004,us-east,42.1,51.7,863.6,47.21,242,77.38
N008,eu-central,6.3,44.2,873.9,53.33,222,73.97
N004,us-west,87.2,81.9,423.6,13.62,240,35.28
N001,ap-south,52.8,48.3,800.0,165.15,231,246.89
N008,us-west,12.5,70.2,696.2,84.29,111,114.83
N003,eu-central,31.6,61.8,99.8,98.56,156,142.24
N003,ap-south,82.2,69.8,34.2,93.69,395,173.75
N003,ap-south,21.6,79.7,630.5,142.26,0,195.42
N002,ap-south,85.4,36.6,42.4,88.05,138,143.29
N004,us-east,60.8,36.9,932.9,105.37,465,173.61
N006,us-east,15.0,39.2,622.9,76.29,89,96.43
N002,us-west,17.5,36.8,544.2,131.56,377,178.06
N004,us-west,33.8,81.8,508.5,87.47,27,127.45
N002,eu-central,36.1,48.9,531.4,28.93,363,57.02
N005,ap-south,60.9,74.0,945.9,162.72,481,276.46
N002,us-west,85.3,46.6,89.4,180.1,147,292.24
N002,us-east,19.8,19.0,156.5,34.35,104,45.13
N001,eu-central,42.5,64.6,932.4,97.41,215,149.84
N008,us-east,31.2,15.0,873.1,50.3,485,84.91
N006,ap-south,57.1,62.5,789.0,99.8,340,166.08
N008,ap-south,32.4,20.6,791.5,38.49,133,54.02
N004,ap-south,38.5,33.1,847.1,33.93,145,51.46
N008,us-west,60.7,22.9,540.0,40.54,89,60.39
N003,us-west,26.4,13.3,323.5,29.66,133,41.54
N006,us-west,23.5,66.6,668.9,195.71,75,265.9
N006,ap-south,53.6,23.0,308.5,184.48,207,258.41
N008,us-west,90.3,84.2,164.5,194.18,279,350.3
N006,eu-central,47.7,33.2,944.6,196.23,293,279.4
N003,ap-south,35.5,19.0,484.2,12.82,347,33.26
N002,eu-central,7.2,59.4,228.2,74.69,167,100.52
N001,us-west,57.5,27.8,936.3,59.2,11,82.26
N002,ap-south,65.9,86.6,976.1,81.91,251,145.09
N006,us-east,86.8,38.9,156.5,171.49,189,277.6
